currentPrice,previousClose,open,dayLow,dayHigh,bid,ask,volume,averageVolume,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,symbol,timestamp
191.1199951171875,186.16,186.9,186.63,191.48,190.63,190.91,58010,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44201756,BAP,2025-04-01 10:28:36.233211
190.6999969482422,186.16,186.9,186.63,191.48,190.9,192.06,60875,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44104618,BAP,2025-04-01 10:33:35.108170
190.90499877929688,186.16,186.9,186.63,191.48,190.97,192.06,62131,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4415203,BAP,2025-04-01 10:38:35.172243
190.9199981689453,186.16,186.9,186.63,191.48,190.97,192.07,63279,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.441555,BAP,2025-04-01 10:43:35.142809
190.96249389648438,186.16,186.9,186.63,191.48,190.11,191.31,64035,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44165328,BAP,2025-04-01 10:48:35.346107
191.15499877929688,186.16,186.9,186.63,191.48,190.5,191.31,65726,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4420985,BAP,2025-04-01 10:53:35.567021
191.19500732421875,186.16,186.9,186.63,191.48,190.5,191.34,66508,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44219103,BAP,2025-04-01 10:58:35.103766
191.19500732421875,186.16,186.9,186.63,191.48,190.5,191.34,67763,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44219103,BAP,2025-04-01 11:03:35.102135
191.4949951171875,186.16,186.9,186.63,191.53,190.5,191.2,70262,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44288483,BAP,2025-04-01 11:08:35.424776
191.86000061035156,186.16,186.9,186.63,192.1,190.9,191.49,72182,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.443729,BAP,2025-04-01 11:13:35.185634
192.24000549316406,186.16,186.9,186.63,192.24,190.9,191.58,73425,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44460788,BAP,2025-04-01 11:18:35.355886
192.05999755859375,186.16,186.9,186.63,192.315,191.16,191.83,76906,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44419158,BAP,2025-04-01 11:23:35.165879
192.1649932861328,186.16,186.9,186.63,192.315,191.48,192.24,79014,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4444344,BAP,2025-04-01 11:28:35.104615
191.13499450683594,186.16,186.9,186.63,192.315,191.49,192.24,82132,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.44205225,BAP,2025-04-01 11:33:35.113673
191.24000549316406,186.16,186.9,186.63,192.315,191.25,192.59,83942,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4422951,BAP,2025-04-01 11:38:35.112129
191.39500427246094,186.16,186.9,186.63,192.315,191.25,192.58,85130,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4426536,BAP,2025-04-01 11:43:35.080430
191.39500427246094,186.16,186.9,186.63,192.315,190.63,191.91,85403,288413,4.99,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4426536,BAP,2025-04-01 11:48:35.124603
